ADBL,Agriculture Development Bank Limited,Commercial Banks
API,Api Power Company Ltd.,Hydro Power
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance
AKPL,Arun Kabeli Power Ltd.,Hydro Power
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing
ALICL,Asian Life Insurance Co. Limited,Insurance
BOKL,Bank of Kathmandu Ltd.,Commercial Banks
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
BFC,Best Finance Company Ltd.,Finance
BHBL,Bhargav Bikash Bank Ltd.,Development Bank
BSL,Birat Shoe Limited,Manufacturing And Processing
BBC,Bishal Bazar Company Limited,Tradings
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
BPCL,Butwal Power Company Limited,Hydro Power
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance
CFCL,Central Finance Co. Ltd.,Finance
CCBL,Century Commercial Bank Ltd.,Commercial Banks
CBBL,Chhimek Laghubitta Bikas Bank Limited,Microfinance
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
CHCL,Chilime Hydropower Company Limited,Hydro Power
CZBIL,Citizen Bank International Limited,Commercial Banks
CIT,Citizen Investment Trust,Others
CMF1,Citizens Mutual Fund -1,Mutual Fund
CEFL,City Express Finance Co. Limited,Finance
CBL,Civil Bank Ltd,Commercial Banks
CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,Microfinance
CORBL,Corporate Development Bank Limited,Development Bank
CFL,Crystal Finance Ltd.,Finance
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
DBBL,Deva Bikas Bank Limited,Development Bank
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
EBL,Everest Bank Limited,Commercial Banks
EBLCP,Everest Bank Limited Con. Pref.,Preferred Stock
EIC,Everest Insurance Co. Ltd.,Insurance
EDBL,Excel Development Bank Ltd.,Development Bank
